ID;Class;Order;Family;Genus;Species
B514;Aves;Charadriformes;Charadridae;Vanellus;gregarius
B161;Aves;Charadriformes;Charadridae;Vanellus;vanellus
B516;Aves;Charadriformes;Glareolidae;Cursorius;cursor
B160;Aves;Charadriformes;Glareolidae;Glareola;nordmanni
B159;Aves;Charadriformes;Glareolidae;Glareola;pratincola
B155;Aves;Charadriformes;Haematopodidae;Haematopus;ostralegus
B233;Aves;Charadriformes;Laridae;Chlidonias;hybridus
B234;Aves;Charadriformes;Laridae;Chlidonias;leucopterus
B235;Aves;Charadriformes;Laridae;Chlidonias;niger
B224;Aves;Charadriformes;Laridae;Gelochelidon;nilotica
B212;Aves;Charadriformes;Laridae;Larus;argentatus
B215;Aves;Charadriformes;Laridae;Larus;armenicus
B208;Aves;Charadriformes;Laridae;Larus;audouinii
B214;Aves;Charadriformes;Laridae;Larus;cachinnans
B207;Aves;Charadriformes;Laridae;Larus;canus
B213;Aves;Charadriformes;Laridae;Larus;fuscus
B218;Aves;Charadriformes;Laridae;Larus;genei
B211;Aves;Charadriformes;Laridae;Larus;glaucoides
B210;Aves;Charadriformes;Laridae;Larus;hyperboreus
B216;Aves;Charadriformes;Laridae;Larus;ichthyaetus
B209;Aves;Charadriformes;Laridae;Larus;marinus
B219;Aves;Charadriformes;Laridae;Larus;melanocephalus
B220;Aves;Charadriformes;Laridae;Larus;minutus
B217;Aves;Charadriformes;Laridae;Larus;ridibundus
B222;Aves;Charadriformes;Laridae;Larus;sabini
B221;Aves;Charadriformes;Laridae;Pagophila;eburnea
B223;Aves;Charadriformes;Laridae;Rissa;tridactyla
B231;Aves;Charadriformes;Laridae;Sterna;albifrons
B226;Aves;Charadriformes;Laridae;Sterna;bengalensis
B225;Aves;Charadriformes;Laridae;Sterna;caspia
B228;Aves;Charadriformes;Laridae;Sterna;dougallii
B232;Aves;Charadriformes;Laridae;Sterna;fuscata
B229;Aves;Charadriformes;Laridae;Sterna;hirundo
B230;Aves;Charadriformes;Laridae;Sterna;paradisaea
B227;Aves;Charadriformes;Laridae;Sterna;sandvicensis
B156;Aves;Charadriformes;Recurvirostridae;Himantopus;himantopus
B157;Aves;Charadriformes;Recurvirostridae;Recurvirostra;avosetta
B190;Aves;Charadriformes;Scolopacidae;Actitis;hypoleucos
B191;Aves;Charadriformes;Scolopacidae;Arenaria;interpres
B193;Aves;Charadriformes;Scolopacidae;Calidris;alba
B197;Aves;Charadriformes;Scolopacidae;Calidris;alpina
B192;Aves;Charadriformes;Scolopacidae;Calidris;canutus
B198;Aves;Charadriformes;Scolopacidae;Calidris;maritima
B196;Aves;Charadriformes;Scolopacidae;Calidris;melanotos
B194;Aves;Charadriformes;Scolopacidae;Calidris;minuta
B195;Aves;Charadriformes;Scolopacidae;Calidris;temminckii
B178;Aves;Charadriformes;Scolopacidae;Gallinago;gallinago
B177;Aves;Charadriformes;Scolopacidae;Gallinago;media
B176;Aves;Charadriformes;Scolopacidae;Gallinago;stenura
B199;Aves;Charadriformes;Scolopacidae;Limicola;falcinellus
B180;Aves;Charadriformes;Scolopacidae;Limosa;lapponica
B179;Aves;Charadriformes;Scolopacidae;Limosa;limosa
B175;Aves;Charadriformes;Scolopacidae;Lymnocryptes;minimus
B182;Aves;Charadriformes;Scolopacidae;Numenius;arquata
B181;Aves;Charadriformes;Scolopacidae;Numenius;phaeopus
B202;Aves;Charadriformes;Scolopacidae;Phalaropus;fulicarius
B201;Aves;Charadriformes;Scolopacidae;Phalaropus;lobatus
B200;Aves;Charadriformes;Scolopacidae;Philomachus;pugnax
B174;Aves;Charadriformes;Scolopacidae;Scolopax;rusticola
B183;Aves;Charadriformes;Scolopacidae;Tringa;erythropus
B188;Aves;Charadriformes;Scolopacidae;Tringa;glareola
B186;Aves;Charadriformes;Scolopacidae;Tringa;nebularia
B187;Aves;Charadriformes;Scolopacidae;Tringa;ochropus
B185;Aves;Charadriformes;Scolopacidae;Tringa;stagnatilis
B184;Aves;Charadriformes;Scolopacidae;Tringa;totanus
